"id";"CLIENT_NUMBER";"GROUP_NUMBER";"DEVICE_NUMBER";"SENSOR_NUMBER";"BATCH_SIZE";"LOOP_RATE";"REAL_INSERT_RATE";"POINT_STEP";"INGESTION_THROUGHPUT"
"1";"20";"20";"20";"100";"100";"10";"1";"5000";"324643.49"
"2";"20";"20";"20";"250";"100";"10";"1";"5000";"445973.75"
"3";"20";"20";"20";"500";"100";"10";"1";"5000";"448745.42"
"4";"20";"20";"20";"750";"100";"10";"1";"5000";"431247.92"
"5";"20";"20";"20";"1000";"100";"10";"1";"5000";"423872"
"6";"20";"20";"20";"1250";"100";"10";"1";"5000";"445187.08"
"7";"20";"20";"20";"1500";"100";"10";"1";"5000";"453205.22"
"8";"20";"20";"20";"1750";"100";"10";"1";"5000";"446574.93"
"9";"20";"20";"20";"2000";"100";"10";"1";"5000";"435864.74"
"10";"20";"20";"20";"2250";"100";"10";"1";"5000";"423014.12"
"11";"20";"20";"20";"2500";"100";"10";"1";"5000";"389308.21"
"12";"20";"20";"20";"2750";"100";"10";"1";"5000";"342393.39"
"13";"20";"20";"20";"3000";"100";"10";"1";"5000";"278843.85"
"14";"20";"20";"20";"3250";"100";"10";"1";"5000";"214400.14"
"15";"20";"20";"20";"3500";"100";"10";"1";"5000";"158719.63"
