"id";"CLIENT_NUMBER";"GROUP_NUMBER";"DEVICE_NUMBER";"SENSOR_NUMBER";"BATCH_SIZE";"LOOP_RATE";"REAL_INSERT_RATE";"POINT_STEP";"INGESTION_THROUGHPUT"
"1";"20";"20";"20";"100";"100";"10";"1";"5000";"276983.35"
"2";"20";"20";"20";"250";"100";"10";"1";"5000";"396148.07"
"3";"20";"20";"20";"500";"100";"10";"1";"5000";"465390.75"
"4";"20";"20";"20";"750";"100";"10";"1";"5000";"418713.55"
"5";"20";"20";"20";"1000";"100";"10";"1";"5000";"386505.25"
"6";"20";"20";"20";"1250";"100";"10";"1";"5000";"427803.47"
"7";"20";"20";"20";"1500";"100";"10";"1";"5000";"422052.63"
"8";"20";"20";"20";"1750";"100";"10";"1";"5000";"421657.6"
"9";"20";"20";"20";"2000";"100";"10";"1";"5000";"423868.73"
"10";"20";"20";"20";"2250";"100";"10";"1";"5000";"388954.15"
"11";"20";"20";"20";"2500";"100";"10";"1";"5000";"353072.35"
"12";"20";"20";"20";"2750";"100";"10";"1";"5000";"314677.79"
"13";"20";"20";"20";"3000";"100";"10";"1";"5000";"258167.35"
"14";"20";"20";"20";"3250";"100";"10";"1";"5000";"176369.37"
