"id";"CLIENT_NUMBER";"GROUP_NUMBER";"DEVICE_NUMBER";"SENSOR_NUMBER";"BATCH_SIZE";"LOOP_RATE";"REAL_INSERT_RATE";"POINT_STEP";"INGESTION_THROUGHPUT"
"1";"20";"20";"20";"100";"100";"10";"1";"5000";"369759.25"
"2";"20";"20";"20";"250";"100";"10";"1";"5000";"447886.36"
"3";"20";"20";"20";"500";"100";"10";"1";"5000";"401023.97"
"4";"20";"20";"20";"750";"100";"10";"1";"5000";"416588.59"
"5";"20";"20";"20";"1000";"100";"10";"1";"5000";"425759.56"
"6";"20";"20";"20";"1250";"100";"10";"1";"5000";"412347.61"
"7";"20";"20";"20";"1500";"100";"10";"1";"5000";"433659.71"
"8";"20";"20";"20";"1750";"100";"10";"1";"5000";"422364.78"
"9";"20";"20";"20";"2000";"100";"10";"1";"5000";"402720.83"
"10";"20";"20";"20";"2250";"100";"10";"1";"5000";"385809.58"
"11";"20";"20";"20";"2500";"100";"10";"1";"5000";"360355.68"
"12";"20";"20";"20";"2750";"100";"10";"1";"5000";"317515.8"
"16";"20";"20";"20";"3000";"100";"10";"1";"5000";"165536.84"
"17";"20";"20";"20";"3250";"100";"10";"1";"5000";"105902.52"
