"id";"CLIENT_NUMBER";"GROUP_NUMBER";"DEVICE_NUMBER";"SENSOR_NUMBER";"BATCH_SIZE";"LOOP_RATE";"REAL_INSERT_RATE";"POINT_STEP";"INGESTION_THROUGHPUT"
"1";"20";"20";"20";"100";"100";"10";"1";"5000";"329596.47"
"2";"20";"20";"20";"250";"100";"10";"1";"5000";"410641.94"
"3";"20";"20";"20";"500";"100";"10";"1";"5000";"404774.76"
"4";"20";"20";"20";"750";"100";"10";"1";"5000";"392191.48"
"5";"20";"20";"20";"1000";"100";"10";"1";"5000";"416260.64"
"6";"20";"20";"20";"1250";"100";"10";"1";"5000";"408978.12"
"7";"20";"20";"20";"1500";"100";"10";"1";"5000";"416240.96"
"8";"20";"20";"20";"1750";"100";"10";"1";"5000";"424406.16"
"9";"20";"20";"20";"2000";"100";"10";"1";"5000";"408764.34"
"10";"20";"20";"20";"2250";"100";"10";"1";"5000";"386451.19"
"11";"20";"20";"20";"2500";"100";"10";"1";"5000";"353572.89"
"12";"20";"20";"20";"2750";"100";"10";"1";"5000";"301660.94"
"13";"20";"20";"20";"3000";"100";"10";"1";"5000";"272054.79"
"14";"20";"20";"20";"3250";"100";"10";"1";"5000";"191375.55"
"15";"20";"20";"20";"3500";"100";"10";"1";"5000";"161116.53"
