"id";"CLIENT_NUMBER";"GROUP_NUMBER";"DEVICE_NUMBER";"SENSOR_NUMBER";"BATCH_SIZE";"LOOP_RATE";"REAL_INSERT_RATE";"POINT_STEP";"INGESTION_THROUGHPUT"
"1";"20";"20";"20";"100";"100";"10";"1";"5000";"104352.15"
"2";"20";"20";"20";"250";"100";"10";"1";"5000";"161339.36"
"3";"20";"20";"20";"500";"100";"10";"1";"5000";"179298.76"
"4";"20";"20";"20";"750";"100";"10";"1";"5000";"198822.35"
"5";"20";"20";"20";"1000";"100";"10";"1";"5000";"205019.09"
"6";"20";"20";"20";"1250";"100";"10";"1";"5000";"173407.72"
"7";"20";"20";"20";"1500";"100";"10";"1";"5000";"183532.32"
"8";"20";"20";"20";"1750";"100";"10";"1";"5000";"198519.95"
"9";"20";"20";"20";"2000";"100";"10";"1";"5000";"187074.39"
"10";"20";"20";"20";"2250";"100";"10";"1";"5000";"181490.89"
"11";"20";"20";"20";"2500";"100";"10";"1";"5000";"116475.83"
"12";"20";"20";"20";"2750";"100";"10";"1";"5000";"87440.54"
"13";"20";"20";"20";"3000";"100";"10";"1";"5000";"70149.3"
"14";"20";"20";"20";"3250";"100";"10";"1";"5000";"58675.39"
"15";"20";"20";"20";"3500";"100";"10";"1";"5000";"62490.16"
