"id";"CLIENT_NUMBER";"GROUP_NUMBER";"DEVICE_NUMBER";"SENSOR_NUMBER";"BATCH_SIZE";"LOOP_RATE";"REAL_INSERT_RATE";"POINT_STEP";"INGESTION_THROUGHPUT"
"1";"20";"20";"20";"100";"100";"10";"1";"5000";"328595.88"
"2";"20";"20";"20";"250";"100";"10";"1";"5000";"439616.1"
"3";"20";"20";"20";"500";"100";"10";"1";"5000";"457145.78"
"4";"20";"20";"20";"750";"100";"10";"1";"5000";"444428.85"
"5";"20";"20";"20";"1000";"100";"10";"1";"5000";"441335.67"
"6";"20";"20";"20";"1250";"100";"10";"1";"5000";"441352.94"
"7";"20";"20";"20";"1500";"100";"10";"1";"5000";"449866.4"
"8";"20";"20";"20";"1750";"100";"10";"1";"5000";"447527.62"
"9";"20";"20";"20";"2000";"100";"10";"1";"5000";"442559.95"
"10";"20";"20";"20";"2250";"100";"10";"1";"5000";"398314.44"
"11";"20";"20";"20";"2500";"100";"10";"1";"5000";"390731.84"
"12";"20";"20";"20";"2750";"100";"10";"1";"5000";"313390"
"13";"20";"20";"20";"3000";"100";"10";"1";"5000";"274860.33"
"14";"20";"20";"20";"3250";"100";"10";"1";"5000";"246905.08"
"15";"20";"20";"20";"3500";"100";"10";"1";"5000";"164483.56"
