"id";"CLIENT_NUMBER";"GROUP_NUMBER";"DEVICE_NUMBER";"SENSOR_NUMBER";"BATCH_SIZE";"LOOP_RATE";"REAL_INSERT_RATE";"POINT_STEP";"INGESTION_THROUGHPUT"
"1";"20";"20";"20";"100";"100";"10";"1";"5000";"114028.15"
"2";"20";"20";"20";"250";"100";"10";"1";"5000";"136374.25"
"3";"20";"20";"20";"500";"100";"10";"1";"5000";"184149.55"
"4";"20";"20";"20";"750";"100";"10";"1";"5000";"208302.52"
"5";"20";"20";"20";"1000";"100";"10";"1";"5000";"193671.24"
"6";"20";"20";"20";"1250";"100";"10";"1";"5000";"210521.13"
"7";"20";"20";"20";"1500";"100";"10";"1";"5000";"200036.92"
"8";"20";"20";"20";"1750";"100";"10";"1";"5000";"191620.39"
"9";"20";"20";"20";"2000";"100";"10";"1";"5000";"177766.82"
"10";"20";"20";"20";"2250";"100";"10";"1";"5000";"156666.29"
"11";"20";"20";"20";"2500";"100";"10";"1";"5000";"153461.67"
"12";"20";"20";"20";"2750";"100";"10";"1";"5000";"74134.76"
"13";"20";"20";"20";"3000";"100";"10";"1";"5000";"70626.24"
"14";"20";"20";"20";"3250";"100";"10";"1";"5000";"64054.01"
"15";"20";"20";"20";"3500";"100";"10";"1";"5000";"56564.66"
