"id";"CLIENT_NUMBER";"GROUP_NUMBER";"DEVICE_NUMBER";"SENSOR_NUMBER";"BATCH_SIZE";"LOOP_RATE";"REAL_INSERT_RATE";"POINT_STEP";"INGESTION_THROUGHPUT"
"1";"20";"20";"20";"100";"100";"10";"1";"5000";"96071.58"
"2";"20";"20";"20";"250";"100";"10";"1";"5000";"153062.37"
"3";"20";"20";"20";"500";"100";"10";"1";"5000";"179561.14"
"4";"20";"20";"20";"750";"100";"10";"1";"5000";"203983.81"
"5";"20";"20";"20";"1000";"100";"10";"1";"5000";"163732.9"
"6";"20";"20";"20";"1250";"100";"10";"1";"5000";"212407.82"
"7";"20";"20";"20";"1500";"100";"10";"1";"5000";"185346.85"
"8";"20";"20";"20";"1750";"100";"10";"1";"5000";"195221.81"
"9";"20";"20";"20";"2000";"100";"10";"1";"5000";"183721.06"
"10";"20";"20";"20";"2250";"100";"10";"1";"5000";"186295.77"
"11";"20";"20";"20";"2500";"100";"10";"1";"5000";"138623.83"
"12";"20";"20";"20";"2750";"100";"10";"1";"5000";"93910.51"
"13";"20";"20";"20";"3000";"100";"10";"1";"5000";"87312.09"
"14";"20";"20";"20";"3250";"100";"10";"1";"5000";"65299.27"
"15";"20";"20";"20";"3500";"100";"10";"1";"5000";"58812.14"
