"id";"project_id";"LOOP_RATE";"POINT_STEP";"QUERY_INTERVAL";"OPERATION";"Latency_AVG"
"293";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_01_03_409";"10";"5000";"1800000";"AGG_VALUE_QUERY";"1561.37"
"301";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_01_29_386";"10";"5000";"1850000";"AGG_VALUE_QUERY";"1566.33"
"309";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_01_54_050";"10";"5000";"1900000";"AGG_VALUE_QUERY";"1566.34"
"317";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_02_18_909";"10";"5000";"1950000";"AGG_VALUE_QUERY";"1556.16"
"325";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_02_43_469";"10";"5000";"2000000";"AGG_VALUE_QUERY";"1547.48"
"6";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_26_27_785";"10";"5000";"1000";"AGG_RANGE_VALUE_QUERY";"17.78"
"14";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_26_41_544";"10";"5000";"50000";"AGG_RANGE_VALUE_QUERY";"35.52"
"22";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_26_55_341";"10";"5000";"100000";"AGG_RANGE_VALUE_QUERY";"54.75"
"30";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_27_09_684";"10";"5000";"150000";"AGG_RANGE_VALUE_QUERY";"77.6"
"38";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_27_23_933";"10";"5000";"200000";"AGG_RANGE_VALUE_QUERY";"100.38"
"46";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_27_38_263";"10";"5000";"250000";"AGG_RANGE_VALUE_QUERY";"120.69"
"54";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_27_52_662";"10";"5000";"300000";"AGG_RANGE_VALUE_QUERY";"150.45"
"62";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_28_07_712";"10";"5000";"350000";"AGG_RANGE_VALUE_QUERY";"164.02"
"70";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_28_22_618";"10";"5000";"400000";"AGG_RANGE_VALUE_QUERY";"194.3"
"78";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_28_37_582";"10";"5000";"450000";"AGG_RANGE_VALUE_QUERY";"221.82"
"86";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_28_52_611";"10";"5000";"500000";"AGG_RANGE_VALUE_QUERY";"233.14"
