"id";"CLIENT_NUMBER";"GROUP_NUMBER";"DEVICE_NUMBER";"SENSOR_NUMBER";"BATCH_SIZE";"LOOP_RATE";"REAL_INSERT_RATE";"POINT_STEP";"INGESTION_THROUGHPUT"
"6";"20";"20";"20";"100";"100";"10";"1";"5000";"322334.04"
"7";"20";"20";"20";"250";"100";"10";"1";"5000";"466821.38"
"8";"20";"20";"20";"500";"100";"10";"1";"5000";"467745.29"
"9";"20";"20";"20";"750";"100";"10";"1";"5000";"430345.32"
"10";"20";"20";"20";"1000";"100";"10";"1";"5000";"432586.7"
"11";"20";"20";"20";"1250";"100";"10";"1";"5000";"393020.88"
"12";"20";"20";"20";"1500";"100";"10";"1";"5000";"416195.54"
"13";"20";"20";"20";"1750";"100";"10";"1";"5000";"428491.27"
"14";"20";"20";"20";"2000";"100";"10";"1";"5000";"448000.24"
"15";"20";"20";"20";"2250";"100";"10";"1";"5000";"430113.43"
"16";"20";"20";"20";"2500";"100";"10";"1";"5000";"395701.2"
"17";"20";"20";"20";"2750";"100";"10";"1";"5000";"342351.47"
"18";"20";"20";"20";"3000";"100";"10";"1";"5000";"298321.43"
"19";"20";"20";"20";"3250";"100";"10";"1";"5000";"187683.13"
"20";"20";"20";"20";"3500";"100";"10";"1";"5000";"198745.33"
